ROLE,BOARD,CYCLE,HOST_START_MS,HOST_END_MS,DURATION_MS,WR_CORE_VALID,DIRECT_VALID,TRANSPORT_FAILURE,ROLE_IDENTITY_VALID,STATUS_RAW,STATUS_VALID,WDIAGS_CTRL_RAW,WDIAGS_CTRL_VALID,WDIAGS_CTRL_DATA_VALID,WDIAGS_CTRL_DATA_SNAPSHOT,WDIAGS_CTRL_ADDR,SSTAT_RAW,PTP_META_RAW,WR_FAILURE_RAW,WR_STATE_RAW,PSTAT_RAW,LOCK_RESULT_RAW,SPLL_STATE_RAW,ENTRY_PROBE_RAW,RESET_PROBE_RAW,RESET_PROBE_SOURCE,SI_CONFIG_DONE,WR_READY,CORE_TM_LINK_UP,CORE_LINK_OK,WR_RX_READY,WR_TX_READY,CPU_RESET_N,PHY_STATUS_PROBE0_RAW,PHY_STATUS_VALID,PHY_STATUS_SOURCE,PHY_STATUS_SOURCE_ID,PHY_STATUS_INSTANCE,PHY_STATUS_WIDTH_BITS,PHY_GATE_REQUIRED_MASK,PHY_GATE_FAILURE_BITS,PHY_RX_LOCKED_TO_DATA,PHY_RX_LOCKED_TO_REF,WR_CORE_DATA_VALID,PHY_LINK_USABLE,PTP_STATE,PD_STATE,EXT_STATE,WRC_MODE,CURRENT_WR_STATE,WR_NEXT_STATE,PSTAT_ADDR,PSTAT_LINK,PSTAT_LOCKED,SPLL_DELOCK_COUNT,BOOT_GENERATION,CPU_RESET_COUNT,WR_CORE_RESET_COUNT,SI_CONFIG_DROP_COUNT,RESET_FIELDS_VALID,RESET_CHANGED,TERMINAL,TERMINAL_STREAK,WR_FAILURE_REASON,WR_DISABLE_VALID,STOP_REASON
MASTER,DE5 [1-11.1],7,1789542316818,1789542316907,89,1,1,0,1,1,1,1,1,1,0,0x00100A04,0,2010306,0,A0219864,1,0,20004,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,5110426135BC82FF,1,JTAG_PROBE0,WR_SYNC_MASTER,0,64,000000CF,NONE,1,0,1,1,6,3,1,2,3,3,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],26,1789542317498,1789542317587,89,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,1610DC6335BC82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,1,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],27,1789542318337,1789542318425,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,B110DC41255082EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],28,1789542319142,1789542319230,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,9710DC6135BC82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],29,1789542320308,1789542320396,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,3110DC6135BC82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
MASTER,DE5 [1-11.1],8,1789542320503,1789542320591,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,0,2010306,0,A0219864,1,0,20004,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,B11042C1255082FF,1,JTAG_PROBE0,WR_SYNC_MASTER,0,64,000000CF,NONE,1,0,1,1,6,3,1,2,3,3,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],30,1789542321259,1789542321347,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,D310DCE135BC82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],31,1789542322130,1789542322219,89,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,D510DC43255082EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,1,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],32,1789542322927,1789542323017,90,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,D410DCE335BC82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,1,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],33,1789542324108,1789542324197,89,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,E010DC6135BC82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
MASTER,DE5 [1-11.1],9,1789542324320,1789542324408,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,0,2010306,0,A0219864,1,0,20004,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,01104241255082FF,1,JTAG_PROBE0,WR_SYNC_MASTER,0,64,000000CF,NONE,1,0,1,1,6,3,1,2,3,3,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],34,1789542324999,1789542325088,89,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,1610DC61355082EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],35,1789542325859,1789542325948,89,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,3010DC41255082EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],36,1789542326704,1789542326792,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,5D10DCC1255082EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
