BOARD,CYCLE,PROBE,COUNTER_GROUP,HOST_START_MS,HOST_END_MS,RAW_PACKED,MAIN_RAW,HELPER_RAW,MAIN_VALUE,HELPER_VALUE,VALID,COUNTER_WIDTH_BITS,SOURCE_SEMANTICS,READ_ATOMICITY,DELTA_POLICY
DE5 [1-11.2],66,56,FAILED,1789467964283,1789467964284,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],67,54,START,1789467965570,1789467965570,000036E60000FDD8,0000FDD8,36000000.0,64984,14054,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],67,55,COMPLETED,1789467965570,1789467965570,000036E60000FDD7,0000FDD7,36000000.0,64983,14054,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],67,56,FAILED,1789467965570,1789467965571,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],68,54,START,1789467966875,1789467966875,376300010179,10179,3763,65913,14179,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],68,55,COMPLETED,1789467966875,1789467966875,376300010178,10178,3763,65912,14179,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],68,56,FAILED,1789467966875,1789467966876,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],69,54,START,1789467968185,1789467968185,000037EA00010514,10514,000037EA,66836,14314,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],69,55,COMPLETED,1789467968185,1789467968185,inf,10514,37000000000.0,66836,14313,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],69,56,FAILED,1789467968186,1789467968186,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],70,54,START,1789467969462,1789467969463,00003836000108CB,000108CB,3836,67787,14390,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],70,55,COMPLETED,1789467969463,1789467969463,00003836000108CB,000108CB,3836,67787,14390,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],70,56,FAILED,1789467969463,1789467969463,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],71,54,START,1789467970746,1789467970746,0000389B00010C4F,00010C4F,0000389B,68687,14491,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],71,55,COMPLETED,1789467970746,1789467970747,0000389B00010C4E,00010C4E,0000389B,68686,14491,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],71,56,FAILED,1789467970747,1789467970747,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],72,54,START,1789467972053,1789467972054,0000394600010FC4,00010FC4,3946,69572,14662,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],72,55,COMPLETED,1789467972054,1789467972054,0000394600010FC3,00010FC3,3946,69571,14662,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],72,56,FAILED,1789467972054,1789467972054,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],73,54,START,1789467973367,1789467973367,00003979000113B3,000113B3,3979,70579,14713,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],73,55,COMPLETED,1789467973367,1789467973367,00003979000113B2,000113B2,3979,70578,14713,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],73,56,FAILED,1789467973367,1789467973368,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],74,54,START,1789467974709,1789467974709,000039C70001179B,0001179B,000039C7,71579,14791,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],74,55,COMPLETED,1789467974709,1789467974710,000039C70001179B,0001179B,000039C7,71579,14791,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],74,56,FAILED,1789467974710,1789467974710,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],75,54,START,1789467975982,1789467975982,00003A3300011B30,00011B30,00003A33,72496,14899,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],75,55,COMPLETED,1789467975982,1789467975983,00003A3300011B30,00011B30,00003A33,72496,14899,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],75,56,FAILED,1789467975983,1789467975983,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],76,54,START,1789467977353,1789467977353,00003AC300011EF6,00011EF6,00003AC3,73462,15043,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],76,55,COMPLETED,1789467977353,1789467977353,00003AC300011EF5,00011EF5,00003AC3,73461,15043,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],76,56,FAILED,1789467977353,1789467977354,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],77,54,START,1789467978695,1789467978695,00003B5400012259,12259,00003B54,74329,15188,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],77,55,COMPLETED,1789467978695,1789467978695,00003B5400012259,12259,00003B54,74329,15188,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],77,56,FAILED,1789467978695,1789467978696,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],78,54,START,1789467980227,1789467980227,00003BD6000126A9,000126A9,00003BD6,75433,15318,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],78,55,COMPLETED,1789467980227,1789467980227,00003BD6000126A8,000126A8,00003BD6,75432,15318,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],78,56,FAILED,1789467980227,1789467980228,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],79,54,START,1789467981468,1789467981468,00003C6C000129FA,000129FA,00003C6C,76282,15468,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],79,55,COMPLETED,1789467981468,1789467981469,00003C6C000129F9,000129F9,00003C6C,76281,15468,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],79,56,FAILED,1789467981469,1789467981469,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],80,54,START,1789467982776,1789467982777,00003CF200012D71,00012D71,00003CF2,77169,15602,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],80,55,COMPLETED,1789467982777,1789467982777,00003CF200012D70,00012D70,00003CF2,77168,15602,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],80,56,FAILED,1789467982777,1789467982777,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],81,54,START,1789467984083,1789467984083,00003D580001311B,0001311B,00003D58,78107,15704,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],81,55,COMPLETED,1789467984083,1789467984083,00003D580001311A,0001311A,00003D58,78106,15704,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],81,56,FAILED,1789467984083,1789467984084,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],82,54,START,1789467985373,1789467985373,00003DE20001349E,0001349E,00003DE2,79006,15842,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],82,55,COMPLETED,1789467985373,1789467985373,00003DE20001349D,0001349D,00003DE2,79005,15842,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
