Info: *******************************************************************
Info: Running Quartus Prime SignalTap II
    Info: Version 17.0.0 Build 595 04/25/2017 SJ Standard Edition
    Info: Copyright (C) 2017  Intel Corporation. All rights reserved.
    Info: Your use of Intel Corporation's design tools, logic functions 
    Info: and other software and tools, and its AMPP partner logic 
    Info: functions, and any output files from any of the foregoing 
    Info: (including device programming or simulation files), and any 
    Info: associated documentation or information are expressly subject 
    Info: to the terms and conditions of the Intel Program License 
    Info: Subscription Agreement, the Intel Quartus Prime License Agreement,
    Info: the Intel MegaCore Function License Agreement, or other 
    Info: applicable license agreement, including, without limitation, 
    Info: that your use is for the sole purpose of programming logic 
    Info: devices manufactured by Intel and sold by Intel or its 
    Info: authorized distributors.  Please refer to the applicable 
    Info: agreement for further details.
    Info: Processing started: Thu Sep 24 10:40:57 2026
Info: Command: quartus_stp -t scripts/jtag/read_step1_phy_link.tcl 360 100
Info: Quartus(args): 360 100
STEP1_CAPTURE_CONFIG samples=360 gap_ms=100 probe_instance=0 read_only=1
STEP1_SAMPLE board="DE5 [1-11.1]" n=0185 elapsed_ms=18810 read_ok=1 raw=101EBA6127D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0186 elapsed_ms=18912 read_ok=1 raw=101EBAE137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0187 elapsed_ms=19014 read_ok=1 raw=101EBAE137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0188 elapsed_ms=19116 read_ok=1 raw=101E366337BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0189 elapsed_ms=19218 read_ok=1 raw=101E36E127F082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0190 elapsed_ms=19321 read_ok=1 raw=101E36E127B082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0191 elapsed_ms=19423 read_ok=1 raw=101E366137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0192 elapsed_ms=19525 read_ok=1 raw=101E36C3375C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0193 elapsed_ms=19627 read_ok=1 raw=101E36C1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0194 elapsed_ms=19729 read_ok=1 raw=101E36C3275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0195 elapsed_ms=19831 read_ok=1 raw=101E36C1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0196 elapsed_ms=19933 read_ok=1 raw=101E366137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0197 elapsed_ms=20035 read_ok=1 raw=101E366137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0198 elapsed_ms=20137 read_ok=1 raw=101E3641275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0199 elapsed_ms=20239 read_ok=1 raw=101E3641275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0200 elapsed_ms=20342 read_ok=1 raw=101E36E137BC82FF
