ROLE,BOARD,CYCLE,PROFILE,PROFILE_ATTEMPTS,PROFILE_START_MS,PROFILE_END_MS,PROFILE_DURATION_MS,ELAPSED_MS,ACCEPTED,FRESH,STALE,AMBIGUOUS,PRODUCER_STATUS,UPDATE_COUNT,EPOCH_BEFORE,EPOCH_AFTER,TRANSPORT_ERROR,PARSE_ERROR,ODD_OR_SENTINEL,EPOCH_CHANGED,ARITHMETIC_MISMATCH,RANGE_MISMATCH,REASON,STOP_REASON
SLAVE,DE5 [1-11.2],39,FULL,8,1789464209748,1789464210848,1100,45357,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,281716,562676,563432,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],40,CORE,1,1789464211348,1789464211534,186,46043,1,1,0,0,FRESH,284391,568782,568782,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],41,FULL,8,1789464212034,1789464213157,1123,47666,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,290489,580210,580978,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],42,CORE,1,1789464213657,1789464213841,184,48350,1,1,0,0,FRESH,293163,586326,586326,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],43,FULL,8,1789464214341,1789464215451,1110,49960,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,299262,597756,598524,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],44,CORE,1,1789464215951,1789464216138,187,50647,1,1,0,0,FRESH,301933,603866,603866,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],45,FULL,8,1789464216862,1789464217998,1136,52507,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,308800,617600,618356,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],46,CORE,2,1789464218499,1789464218743,244,53252,1,1,0,0,FRESH,311849,623698,623698,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],47,FULL,8,1789464219243,1789464220361,1118,54870,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,317951,635152,635902,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],48,CORE,1,1789464220861,1789464221056,195,55565,1,1,0,0,FRESH,320625,641250,641250,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],49,FULL,8,1789464221556,1789464222663,1107,57172,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,326724,652696,653448,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],50,CORE,1,1789464223163,1789464223350,187,57859,1,1,0,0,FRESH,329400,658800,658800,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],51,FULL,8,1789464223850,1789464224956,1106,59465,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,335497,670246,670994,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],52,CORE,1,1789464225457,1789464225645,188,60154,1,1,0,0,FRESH,338168,676336,676336,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],53,FULL,8,1789464226145,1789464227254,1109,61763,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,344274,687782,688548,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],54,CORE,1,1789464227754,1789464227933,179,62442,1,1,0,0,FRESH,346941,693882,693882,0,0,0,0,0,0,NONE,NONE
